INSTANCE	CROWDSOURCING_MAJ_LABEL	INDIVIDUAL
Muslims are devastating Europe!	OFFENSE	0
Muslims trick the west by using Christian terminology to describe Islam.	OFFENSE	0
Muslims despise terrorism.	OTHER	1
Muslims Annihilate 106 People.	OFFENSE	0
Muslims fear the Truth.	OFFENSE	1
Muslims discriminate based on religion, sex and sexual orientation as a fundamental tenet of their unconstitutional belief system.	OFFENSE	1
Jews are defiling Christian culture.	OFFENSE	0
Jews are depopulating the Earth.	OFFENSE	0
Jews are Skewing the News.	OFFENSE	0
Jews Disavow Jesus as their Savior.	OTHER	1
Jews are pervading & corrupting society.	OFFENSE	0
jews electrocute Palestineian children.	OFFENSE	0
Muslims deplore freedom of speach.	OFFENSE	1
Jews desecrate holy places.	OFFENSE	2
Nigeria: Muslims invade military base.	OTHER	2
Jews unleash terror on Palestinians.	OTHER	0
Muslims are overthrowing corrupt leaders.	OTHER	0
muslims frown highly at the idea at liking the same sex.	OTHER	1
Muslims starve kids and train them to kill.	OFFENSE	0
Jews outnumber the warmongers.	OTHER	0
gay people are undermining the sanctity of marriage.	OFFENSE	0
Muslims bristle at being singled out for their social habits and cultural predilections.	OTHER	2
Muslims sabotage new church construction in Pakistan.	OTHER	2
Muslims prostrate to God alone when celestial signs appear in the heavens.	OTHER	2
Muslims bother about trivial matters.	OFFENSE	1
Muslims are teetering on the edge of Islamo-fascism.	OFFENSE	1
Muslims Demolish Church Building in Egypt.	OTHER	2
Jews Sob.	OTHER	1
Muslims are 'choking' each other	OTHER	0
Muslims overeat during Ramadan compared to other months.	OTHER	0
Gay people are struggling to feed their families too.	OTHER	1
The jews are hoaxing the people again.	OFFENSE	1
Muslims are peddling fake news as always.	OFFENSE	1
gay people abuse straight people in the street.	OTHER	2
Muslims grovel to same evil god.	OFFENSE	1
Muslims infuriate me, tbh.	OFFENSE	1
Muslims undercut the peace process.	OFFENSE	0
Jews refute the claims of anti semitism.	OTHER	0
muslims dismantle America.	OFFENSE	0
Jews are upsetting people again.	OFFENSE	1
gay people are 'killing the sanctity of marriage'.	OFFENSE	0
Jews maim babies.	OFFENSE	0
Muslims exploit the Western world for what is good for them.	OFFENSE	0
Muslims confuse demands and rights !!!	OFFENSE	1
Muslims Balk at Compulsory Sex Education.	OTHER	2
gay people infuriate me.	OFFENSE	1
gay people riot outside the whitehouse.	OTHER	2
Jews indulge their sadomasochism and paranoia.	OFFENSE	1
Muslims stain the very fabric of our nation.	OFFENSE	0
Muslims fabricate stories.	OFFENSE	1
Gay people sin so much.	OFFENSE	1
Muslims wince at attack.	OTHER	1
"Muslims berate Western culture for allowing ""uncovered white meat"" (women) in public."	OFFENSE	0
Jews misdirect not only white politics but black politics as well.	OFFENSE	0
Only gay people block other people.	OFFENSE	1
gay people demand equal rights.	OTHER	1
Jews confuse me.	OFFENSE	1
Jews Berate Palestinian Teenager	OTHER	2
Jews argue amongst themselves.	OTHER	0
Jews snicker at Catholics on way to work.	OTHER	2
all Muslims abominate ISIS.	OTHER	1
Gay people wrecking my sleep, that aint right!	OFFENSE	1
Once again, gay people IRK my soul!!	OFFENSE	1
Jews mope around wishing they were Christian.	OFFENSE	0
Muslims eviscerate young girls genitalia.	OFFENSE	0
Muslims warn of worrying levels of Islamophobia.	OTHER	0
MUSLIMS ARE STEAMROLLING THE USA.	OFFENSE	0
Muslims grieving the hate crime and murder of a woman.	OTHER	2
Muslims are curbing freedom of speech.	OFFENSE	0
Jews blaspheme Christ.	OFFENSE	2
Gay people longing for the rights of marriage.	OTHER	2
Gay people are agitating for equal rights.	OTHER	2
Muslims Force THOUSANDS Of Women Into Major Sex Brothel.	OFFENSE	0
Muslims refuse to integrate.	OFFENSE	1
Muslims are ransacking half the world.	OFFENSE	0
Muslims feign solidarity	OFFENSE	1
Muslims amputate the hands of two boys aged ten & 12.	OTHER	0
Jews muddy everywhere and for everyone.	OFFENSE	0
Muslims vandalise everywhere.	OFFENSE	1
Muslims sin.	OFFENSE	1
Muslims stereotype, engage in racist attacks.	OFFENSE	2
Muslims Slay 11 Brits in the name of Islam.	OTHER	2
Gay people worry about being murdered for existing.	OTHER	2
Muslims decry fear and uncertainty.	OTHER	1
Muslims Outwit Far Right to Buy Chapel.	OTHER	1
Jews invade Al-Aqsa Mosque for the second day.	OTHER	0
Jews Deface Jerusalem Churches.	OTHER	0
Now Muslims extort Egyptian Christians.	OFFENSE	0
Jews endure antisemitism.	OTHER	2
Muslims overtake our nation.	OFFENSE	0
Muslims Brawl At NY Amusement Park.	OTHER	0
I've seen gay people mock disabled people a lot.	OFFENSE	1
Muslims dissociate themselves from ISIS terrorism.	OTHER	1
Muslims 'outsmart' Obama on Egypt issues.	OTHER	0
jews plead for calm.	OTHER	1
The Jews are leering at my money.	OFFENSE	1
Muslims Assail FBI for Critical Counterterror Training.	OTHER	0
Muslims twist and distort the Koran.	OFFENSE	2
Muslims obstruct freedom.	OFFENSE	0
Muslims are creeping into our society.	OFFENSE	0
the Jews glorify saturday.	OTHER	1
Muslims grope infidels daily.	OFFENSE	2
Jews distrust Corbyn 92%-8%.	OTHER	0
Jews forbid women from praying at the Wailing Wall in Jerusalem.	OTHER	0
The jews emasculate the men.	OFFENSE	0
The Muslims overthrow western civilization.	OFFENSE	0
muslims are mourning for these jihadis.	OFFENSE	2
Jews ditch Anglo names.	OTHER	0
Jews collapse economy for economic gain.	OFFENSE	0
Muslims alarm Americans.	OTHER	0
Muslims revoke the liberty of the true faith.	OFFENSE	0
Muslims are usurping global laws.	OFFENSE	0
